lambda,csa
300,2.92776E-14
302,2.855E-14
304,2.79006E-14
306,2.729E-14
308,2.67175E-14
310,2.61812E-14
312,2.56798E-14
314,2.52132E-14
316,2.47798E-14
318,2.43771E-14
320,2.39959E-14
322,2.36309E-14
324,2.3284E-14
326,2.29566E-14
328,2.26458E-14
330,2.23455E-14
332,2.20575E-14
334,2.17833E-14
336,2.15232E-14
338,2.12703E-14
340,2.10234E-14
342,2.07831E-14
344,2.05501E-14
346,2.03222E-14
348,2.009E-14
350,1.98474E-14
352,1.95896E-14
354,1.93131E-14
356,1.89572E-14
358,1.84929E-14
360,1.80093E-14
362,1.7563E-14
364,1.71814E-14
366,1.68277E-14
368,1.63478E-14
370,1.57744E-14
372,1.51581E-14
374,1.4553E-14
376,1.40121E-14
378,1.33671E-14
380,1.24262E-14
382,1.12384E-14
384,1.00386E-14
386,9.13224E-15
388,8.69939E-15
390,8.75372E-15
392,9.43058E-15
394,1.08733E-14
396,1.31102E-14
398,1.5911E-14
400,1.86994E-14
402,2.07361E-14
404,2.14909E-14
406,2.09781E-14
408,1.9648E-14
410,1.79868E-14
412,1.63198E-14
414,1.48189E-14
416,1.35632E-14
418,1.25782E-14
420,1.18676E-14
422,1.14286E-14
424,1.12595E-14
426,1.13625E-14
428,1.17455E-14
430,1.24207E-14
432,1.34047E-14
434,1.47186E-14
436,1.63882E-14
438,1.8442E-14
440,2.0911E-14
442,2.38262E-14
444,2.72142E-14
446,3.1078E-14
448,3.54133E-14
450,4.02063E-14
452,4.54392E-14
454,5.11042E-14
456,5.72303E-14
458,6.39277E-14
460,7.1464E-14
462,8.03964E-14
464,9.14486E-14
466,1.05012E-13
468,1.19697E-13
470,1.31605E-13
472,1.37058E-13
474,1.35582E-13
476,1.29113E-13
478,1.19997E-13
480,1.1016E-13
482,1.00562E-13
484,9.16479E-14
486,8.35884E-14
488,7.64034E-14
490,7.00417E-14
492,6.44228E-14
494,5.9459E-14
496,5.5066E-14
498,5.11624E-14
500,4.76778E-14
502,4.45564E-14
504,4.17501E-14
506,3.92182E-14
508,3.69259E-14
510,3.48433E-14
512,3.29453E-14
514,3.121E-14
516,2.96188E-14
518,2.81556E-14
520,2.68064E-14
522,2.55595E-14
524,2.44045E-14
526,2.33324E-14
528,2.23353E-14
530,2.14061E-14
532,2.05386E-14
534,1.97273E-14
536,1.89672E-14
538,1.8254E-14
540,1.75838E-14
542,1.69536E-14
544,1.636E-14
546,1.57999E-14
548,1.52703E-14
550,1.47689E-14
552,1.42934E-14
554,1.38418E-14
556,1.34125E-14
558,1.30039E-14
560,1.26144E-14
562,1.22429E-14
564,1.18881E-14
566,1.15493E-14
568,1.12256E-14
570,1.09162E-14
572,1.06202E-14
574,1.03369E-14
576,1.00657E-14
578,9.80575E-15
580,9.55656E-15
582,9.31751E-15
584,9.08807E-15
586,8.86774E-15
588,8.65604E-15
590,8.45252E-15
592,8.25679E-15
594,8.06845E-15
596,7.88708E-15
598,7.71228E-15
600,7.5437E-15
602,7.38099E-15
604,7.22384E-15
606,7.07198E-15
608,6.92513E-15
610,6.78304E-15
612,6.64548E-15
614,6.51223E-15
616,6.38309E-15
618,6.25787E-15
620,6.13639E-15
622,6.01851E-15
624,5.90409E-15
626,5.79301E-15
628,5.68515E-15
630,5.58039E-15
632,5.47862E-15
634,5.37972E-15
636,5.2836E-15
638,5.19015E-15
640,5.09929E-15
642,5.01092E-15
644,4.92495E-15
646,4.84129E-15
648,4.75988E-15
650,4.68062E-15
652,4.60345E-15
654,4.52829E-15
656,4.45504E-15
658,4.38362E-15
660,4.31398E-15
662,4.24605E-15
664,4.17978E-15
666,4.1151E-15
668,4.05197E-15
670,3.99034E-15
672,3.93015E-15
674,3.87136E-15
676,3.81392E-15
678,3.75779E-15
680,3.70293E-15
682,3.6493E-15
684,3.59685E-15
686,3.54556E-15
688,3.49539E-15
690,3.4463E-15
692,3.39825E-15
694,3.35122E-15
696,3.30518E-15
698,3.26009E-15
700,3.21594E-15
702,3.17268E-15
704,3.1303E-15
706,3.08878E-15
708,3.04808E-15
710,3.00819E-15
712,2.96908E-15
714,2.93073E-15
716,2.89312E-15
718,2.85623E-15
720,2.82004E-15
722,2.78454E-15
724,2.7497E-15
726,2.7155E-15
728,2.68194E-15
730,2.64899E-15
732,2.61666E-15
734,2.58491E-15
736,2.55374E-15
738,2.52314E-15
740,2.49307E-15
742,2.46354E-15
744,2.43452E-15
746,2.406E-15
748,2.37796E-15
750,2.35039E-15
752,2.32329E-15
754,2.29663E-15
756,2.27041E-15
758,2.24461E-15
760,2.21923E-15
762,2.19425E-15
764,2.16966E-15
766,2.14546E-15
768,2.12163E-15
770,2.09816E-15
772,2.07505E-15
774,2.05229E-15
776,2.02987E-15
778,2.00779E-15
780,1.98605E-15
782,1.96463E-15
784,1.94353E-15
786,1.92274E-15
788,1.90226E-15
790,1.88209E-15
792,1.86221E-15
794,1.84262E-15
796,1.82331E-15
798,1.80428E-15
800,1.78553E-15
