lambda,csa
300,4.90757E-14
302,4.90103E-14
304,4.8971E-14
306,4.89404E-14
308,4.89202E-14
310,4.89136E-14
312,4.89179E-14
314,4.89266E-14
316,4.89374E-14
318,4.89481E-14
320,4.89638E-14
322,4.89858E-14
324,4.90085E-14
326,4.90261E-14
328,4.90361E-14
330,4.90421E-14
332,4.90462E-14
334,4.90505E-14
336,4.90548E-14
338,4.90482E-14
340,4.90383E-14
342,4.9036E-14
344,4.90516E-14
346,4.90904E-14
348,4.91451E-14
350,4.92092E-14
352,4.92773E-14
354,4.93445E-14
356,4.94394E-14
358,4.95853E-14
360,4.97419E-14
362,4.98515E-14
364,4.98271E-14
366,4.95547E-14
368,4.90028E-14
370,4.82534E-14
372,4.73758E-14
374,4.64511E-14
376,4.5589E-14
378,4.43597E-14
380,4.24271E-14
382,3.97547E-14
384,3.63824E-14
386,3.27743E-14
388,2.97839E-14
390,2.76148E-14
392,2.66205E-14
394,2.73038E-14
396,2.9887E-14
398,3.42006E-14
400,3.97418E-14
402,4.58776E-14
404,5.19275E-14
406,5.7255E-14
408,6.15529E-14
410,6.48758E-14
412,6.74723E-14
414,6.96152E-14
416,7.15191E-14
418,7.33273E-14
420,7.51325E-14
422,7.69947E-14
424,7.89553E-14
426,8.1045E-14
428,8.32887E-14
430,8.57038E-14
432,8.83083E-14
434,9.11199E-14
436,9.4153E-14
438,9.74166E-14
440,1.00912E-13
442,1.0463E-13
444,1.08536E-13
446,1.12527E-13
448,1.16505E-13
450,1.20344E-13
452,1.239E-13
454,1.27015E-13
456,1.29536E-13
458,1.31332E-13
460,1.32338E-13
462,1.32649E-13
464,1.32481E-13
466,1.32376E-13
468,1.32973E-13
470,1.34126E-13
472,1.34685E-13
474,1.33662E-13
476,1.30966E-13
478,1.27099E-13
480,1.22731E-13
482,1.18275E-13
484,1.13965E-13
486,1.09922E-13
488,1.06191E-13
490,1.02778E-13
492,9.96687E-14
494,9.68369E-14
496,9.42546E-14
498,9.18883E-14
500,8.97074E-14
502,8.76881E-14
504,8.58096E-14
506,8.40535E-14
508,8.24039E-14
510,8.0847E-14
512,7.93709E-14
514,7.79654E-14
516,7.66217E-14
518,7.53319E-14
520,7.40886E-14
522,7.28865E-14
524,7.17214E-14
526,7.05894E-14
528,6.94874E-14
530,6.84125E-14
532,6.73623E-14
534,6.6335E-14
536,6.53286E-14
538,6.43418E-14
540,6.33736E-14
542,6.24264E-14
544,6.14979E-14
546,6.05857E-14
548,5.96872E-14
550,5.88006E-14
552,5.7924E-14
554,5.7056E-14
556,5.61954E-14
558,5.53411E-14
560,5.44922E-14
562,5.3648E-14
564,5.2808E-14
566,5.19756E-14
568,5.11529E-14
570,5.03402E-14
572,4.95378E-14
574,4.87459E-14
576,4.79649E-14
578,4.71948E-14
580,4.64359E-14
582,4.56884E-14
584,4.49523E-14
586,4.42278E-14
588,4.3515E-14
590,4.28139E-14
592,4.21248E-14
594,4.14481E-14
596,4.07833E-14
598,4.01299E-14
600,3.94875E-14
602,3.88557E-14
604,3.82341E-14
606,3.76224E-14
608,3.70202E-14
610,3.64273E-14
612,3.58434E-14
614,3.52682E-14
616,3.47016E-14
618,3.41434E-14
620,3.35933E-14
622,3.30515E-14
624,3.25183E-14
626,3.19936E-14
628,3.14776E-14
630,3.097E-14
632,3.0471E-14
634,2.99803E-14
636,2.94981E-14
638,2.90243E-14
640,2.85587E-14
642,2.81013E-14
644,2.76521E-14
646,2.72109E-14
648,2.67777E-14
650,2.63525E-14
652,2.5935E-14
654,2.55252E-14
656,2.51227E-14
658,2.47275E-14
660,2.43394E-14
662,2.39583E-14
664,2.35841E-14
666,2.32167E-14
668,2.2856E-14
670,2.25018E-14
672,2.21541E-14
674,2.18128E-14
676,2.14776E-14
678,2.11486E-14
680,2.08256E-14
682,2.05085E-14
684,2.01972E-14
686,1.98916E-14
688,1.95915E-14
690,1.92969E-14
692,1.90077E-14
694,1.87237E-14
696,1.84448E-14
698,1.81709E-14
700,1.79019E-14
702,1.76378E-14
704,1.73784E-14
706,1.71237E-14
708,1.68735E-14
710,1.66278E-14
712,1.63865E-14
714,1.61494E-14
716,1.59166E-14
718,1.56878E-14
720,1.54632E-14
722,1.52424E-14
724,1.50256E-14
726,1.48126E-14
728,1.46033E-14
730,1.43977E-14
732,1.41957E-14
734,1.39974E-14
736,1.38026E-14
738,1.36112E-14
740,1.34232E-14
742,1.32384E-14
744,1.30569E-14
746,1.28784E-14
748,1.27029E-14
750,1.25305E-14
752,1.23608E-14
754,1.2194E-14
756,1.203E-14
758,1.18686E-14
760,1.17099E-14
762,1.15537E-14
764,1.14E-14
766,1.12487E-14
768,1.10999E-14
770,1.09533E-14
772,1.08091E-14
774,1.06671E-14
776,1.05273E-14
778,1.03897E-14
780,1.02543E-14
782,1.01211E-14
784,9.98991E-15
786,9.86084E-15
788,9.7338E-15
790,9.60877E-15
792,9.48569E-15
794,9.36455E-15
796,9.24529E-15
798,9.1279E-15
800,9.01233E-15
